REGION,TECHNOLOGY,YEAR,VALUE
"SC","PWRWEC",2030,0.0054661
"SC","PWRWEC",2031,0.00536787
"SC","PWRWEC",2032,0.00526917
"SC","PWRWEC",2033,0.00517094
"SC","PWRWEC",2034,0.00507271
"SC","PWRWEC",2035,0.158745
"SC","PWRWEC",2036,0.15561
"SC","PWRWEC",2037,0.15246
"SC","PWRWEC",2038,0.149325
"SC","PWRWEC",2039,0.146175
"SC","PWRWEC",2040,0.28605
"SC","PWRWEC",2041,0.27975
"SC","PWRWEC",2042,0.27342
"SC","PWRWEC",2043,0.26712
"SC","PWRWEC",2044,0.26079
"SC","PWRWEC",2045,0.42415
"SC","PWRWEC",2046,0.41355
"SC","PWRWEC",2047,0.403
"SC","PWRWEC",2048,0.39245
"SC","PWRWEC",2049,0.38185
"SC","PWRWEC",2050,0.4455
"SC","PWRDIE",2019,0.198186193556571
"SC","PWRDIE",2020,0.198186193556571
"SC","PWRDIE",2021,0.198186193556571
"SC","PWRDIE",2022,0.198186193556571
"SC","PWRDIE",2023,0.21622325776249
"SC","PWRDIE",2024,0.224338201535029
"SC","PWRDIE",2025,0.224338201535029
"SC","PWRDIE",2026,0.277460670979199
"SC","PWRDIE",2027,0.277460670979199
"SC","PWRDIE",2028,0.277460670979199
"SC","PWRDIE",2029,0.277460670979199
"SC","PWRDIE",2030,0.277460670979199
"SC","PWRDIE",2031,0.277460670979199
"SC","PWRDIE",2032,0.277460670979199
"SC","PWRDIE",2033,0.277460670979199
"SC","PWRDIE",2034,0.0792744774226281
"SC","PWRDIE",2035,0.0792744774226281
"SC","PWRDIE",2036,0.0792744774226281
"SC","PWRDIE",2037,0.0792744774226281
"SC","PWRDIE",2038,0.0612374132167093
"SC","PWRDIE",2039,0.0531224694441699
"SC","PWRDIE",2040,0.0531224694441699
"SC","PWRWND",2019,0.168336
"SC","PWRWND",2020,0.164784
"SC","PWRWND",2021,0.34944
"SC","PWRWND",2022,0.341848
"SC","PWRWND",2023,0.334152
"SC","PWRWND",2024,0.32656
"SC","PWRWND",2025,0.318968
"SC","PWRWND",2026,0.311272
"SC","PWRWND",2027,0.30368
"SC","PWRWND",2028,0.296088
"SC","PWRWND",2029,0.288392
"SC","PWRWND",2030,0.2808
"SC","PWRWND",2031,0.2756
"SC","PWRWND",2032,0.2704
"SC","PWRWND",2033,0.204
"SC","PWRWND",2034,0.2
"SC","PWRWND",2035,0.196
"SC","PWRWND",2036,0.192
"SC","PWRWND",2037,0.188
"SC","PWRWND",2038,0.184
"SC","PWRWND",2039,0.18
"SC","PWRWND",2040,0.176
"SC","PWRWND",2041,0.172
"SC","PWRWND",2042,0.168
"SC","PWRWND",2043,0.164
"SC","PWRWND",2044,0.112
"SC","PWRWND",2045,0.1092
"SC","PWRSOL",2019,0.0002175
"SC","PWRSOL",2020,0.01701
"SC","PWRSOL",2021,0.057280608
"SC","PWRSOL",2022,0.055159104
"SC","PWRSOL",2023,0.0530376
"SC","PWRSOL",2024,0.050916096
"SC","PWRSOL",2025,0.048794592
"SC","PWRSOL",2026,0.046673088
"SC","PWRSOL",2027,0.044551584
"SC","PWRSOL",2028,0.04243008
"SC","PWRSOL",2029,0.040308576
"SC","PWRSOL",2030,0.038187072
"SC","PWRSOL",2031,0.0379749216
"SC","PWRSOL",2032,0.0377627712
"SC","PWRSOL",2033,0.0375506208
"SC","PWRSOL",2034,0.0373384704
"SC","PWRSOL",2035,0.03712632
"SC","PWRSOL",2036,0.0369141696
"SC","PWRSOL",2037,0.0487632517346599
"SC","PWRSOL",2038,0.0499275916014726
"SC","PWRSOL",2039,0.0496373149061152
"SC","PWRSOL",2040,0.0493470382107578
"SC","PWRSOL",2041,0.0490567615154004
"SC","PWRSOL",2042,0.048640484820043
"SC","PWRSOL",2043,0.0483509581246856
"SC","PWRSOL",2044,0.0649131281727541
"SC","PWRSOL",2045,0.0645220852319544
"SC","PWRSOL",2046,0.102003998889315
"SC","PWRSOL",2047,0.103467452806809
"SC","PWRSOL",2048,0.104905318632026
"SC","PWRSOL",2049,0.106986793139523
"SC","PWRSOL",2050,0.0980000924241491
"SC","PWRSOLDIST",2019,0.0065523288174997
"SC","PWRSOLDIST",2020,0.00632638644448247
"SC","PWRSOLDIST",2021,0.00610044407146524
"SC","PWRSOLDIST",2022,0.00587450169844801
"SC","PWRSOLDIST",2023,0.00564855932543078
"SC","PWRSOLDIST",2024,0.00542261695241355
"SC","PWRSOLDIST",2025,0.00519667457939631
"SC","PWRSOLDIST",2026,0.00497073220637908
"SC","PWRSOLDIST",2027,0.00474478983336185
"SC","PWRSOLDIST",2028,0.00451884746034462
"SC","PWRSOLDIST",2029,0.00429290508732739
"SC","PWRSOLDIST",2030,0.00406696271431016
"SC","PWRSOLDIST",2031,0.00404436847700844
"SC","PWRSOLDIST",2032,0.00402177423970671
"SC","PWRSOLDIST",2033,0.00399918000240499
"SC","PWRSOLDIST",2034,0.00397658576510327
"SC","PWRSOLDIST",2035,0.00395399152780154
"SC","PWRSOLDIST",2036,0.00393139729049982
"SC","PWRSOLDIST",2037,0.0039088030531981
"SC","PWRSOLDIST",2038,0.00388620881589637
"SC","PWRSOLDIST",2039,0.00386361457859465
"SC","PWRSOLDIST",2040,0.00384102034129293
"SC","PWRSOLDIST",2041,0.00381842610399121
"SC","PWRSOLDIST",2042,0.00379583186668948
"SC","PWRSOLDIST",2043,0.00377323762938776
"SC","PWRSOLDIST",2044,0.00375064339208604
"SC","PWRSOLDIST",2045,0.00372804915478431
"SC","PWRSOLDIST",2046,0.00370545491748259
"SC","PWRSOLDIST",2047,0.00368286068018087
"SC","PWRSOLDIST",2048,0.00366026644287914
"SC","PWRSOLDIST",2049,0.00296847543102263
"SC","PWRSOLDIST",2050,0.00295003769542622
"STC","PWRWEC",2030,0.0054661
"STC","PWRWEC",2031,0.00536787
"STC","PWRWEC",2032,0.00526917
"STC","PWRWEC",2033,0.00517094
"STC","PWRWEC",2034,0.00507271
"STC","PWRWEC",2035,0.31749
"STC","PWRWEC",2036,0.31122
"STC","PWRWEC",2037,0.30492
"STC","PWRWEC",2038,0.29865
"STC","PWRWEC",2039,0.29235
"STC","PWRWEC",2040,0.5721
"STC","PWRWEC",2041,0.5595
"STC","PWRWEC",2042,0.54684
"STC","PWRWEC",2043,0.53424
"STC","PWRWEC",2044,0.52158
"STC","PWRWEC",2045,0.76347
"STC","PWRWEC",2046,0.74439
"STC","PWRWEC",2047,0.7254
"STC","PWRWEC",2048,0.70641
"STC","PWRWEC",2049,0.68733
"STC","PWRWEC",2050,0.891
"STC","PWRDIE",2019,0.314808844797937
"STC","PWRDIE",2020,0.314808844797937
"STC","PWRDIE",2021,0.314808844797937
"STC","PWRDIE",2022,0.371164342104855
"STC","PWRDIE",2023,0.371164342104855
"STC","PWRDIE",2024,0.371164342104855
"STC","PWRDIE",2025,0.371164342104855
"STC","PWRDIE",2026,0.450438819527483
"STC","PWRDIE",2027,0.450438819527483
"STC","PWRDIE",2028,0.450438819527483
"STC","PWRDIE",2029,0.450438819527483
"STC","PWRDIE",2030,0.450438819527483
"STC","PWRDIE",2031,0.450438819527483
"STC","PWRDIE",2032,0.450438819527483
"STC","PWRDIE",2033,0.450438819527483
"STC","PWRDIE",2034,0.135629974729546
"STC","PWRDIE",2035,0.135629974729546
"STC","PWRDIE",2036,0.135629974729546
"STC","PWRDIE",2037,0.0792744774226283
"STC","PWRDIE",2038,0.0792744774226283
"STC","PWRDIE",2039,0.0792744774226283
"STC","PWRDIE",2040,0.0792744774226283
"STC","PWRWND",2019,0.0789075
"STC","PWRWND",2020,0.0772425
"STC","PWRWND",2021,0.0756
"STC","PWRWND",2022,0.0739575
"STC","PWRWND",2023,0.0722925
"STC","PWRWND",2024,0.27632
"STC","PWRWND",2025,0.269896
"STC","PWRWND",2026,0.263384
"STC","PWRWND",2027,0.25696
"STC","PWRWND",2028,0.250536
"STC","PWRWND",2029,0.244024
"STC","PWRWND",2030,0.2376
"STC","PWRWND",2031,0.2332
"STC","PWRWND",2032,0.2288
"STC","PWRWND",2033,0.2244
"STC","PWRWND",2034,0.22
"STC","PWRWND",2035,0.2156
"STC","PWRWND",2036,0.2112
"STC","PWRWND",2037,0.2068
"STC","PWRWND",2038,0.2024
"STC","PWRWND",2039,0.198
"STC","PWRWND",2040,0.1441
"STC","PWRWND",2041,0.140825
"STC","PWRWND",2042,0.13755
"STC","PWRWND",2043,0.134275
"STC","PWRWND",2044,0.131
"STC","PWRWND",2045,0.127725
"STC","PWRWND",2046,0.12445
"STC","PWRWND",2047,0.121175
"STC","PWRWND",2048,0.1179
"STC","PWRSOL",2019,0.027794064
"STC","PWRSOL",2020,0.026835648
"STC","PWRSOL",2021,0.025877232
"STC","PWRSOL",2022,0.024918816
"STC","PWRSOL",2023,0.0239604
"STC","PWRSOL",2024,0.102201984
"STC","PWRSOL",2025,0.097943568
"STC","PWRSOL",2026,0.093685152
"STC","PWRSOL",2027,0.089426736
"STC","PWRSOL",2028,0.08516832
"STC","PWRSOL",2029,0.080909904
"STC","PWRSOL",2030,0.134467045269911
"STC","PWRSOL",2031,0.137258806772887
"STC","PWRSOL",2032,0.1398798048
"STC","PWRSOL",2033,0.1390939632
"STC","PWRSOL",2034,0.1383081216
"STC","PWRSOL",2035,0.13752228
"STC","PWRSOL",2036,0.1367364384
"STC","PWRSOL",2037,0.1359505968
"STC","PWRSOL",2038,0.1351647552
"STC","PWRSOL",2039,0.1343789136
"STC","PWRSOL",2040,0.133593072
"STC","PWRSOL",2041,0.163675209501666
"STC","PWRSOL",2042,0.165524488799196
"STC","PWRSOL",2043,0.167363132938282
"STC","PWRSOL",2044,0.166822322085663
"STC","PWRSOL",2045,0.165817368338159
"STC","PWRSOL",2046,0.164812414590655
"STC","PWRSOL",2047,0.163807460843151
"STC","PWRSOL",2048,0.148184063088965
"STC","PWRSOL",2049,0.216432684021238
"STC","PWRSOL",2050,0.215088381636013
"STC","PWRSOLDIST",2019,0.000957
"STC","PWRSOLDIST",2020,0.000924
"STC","PWRSOLDIST",2021,0.000891
"STC","PWRSOLDIST",2022,0.015524106577872
"STC","PWRSOLDIST",2023,0.0149270255556462
"STC","PWRSOLDIST",2024,0.0143299445334203
"STC","PWRSOLDIST",2025,0.0137328635111945
"STC","PWRSOLDIST",2026,0.0131357824889686
"STC","PWRSOLDIST",2027,0.0125387014667428
"STC","PWRSOLDIST",2028,0.011941620444517
"STC","PWRSOLDIST",2029,0.0113445394222911
"STC","PWRSOLDIST",2030,0.0107474584000653
"STC","PWRSOLDIST",2031,0.0106877502978427
"STC","PWRSOLDIST",2032,0.0106280421956201
"STC","PWRSOLDIST",2033,0.0105683340933975
"STC","PWRSOLDIST",2034,0.0105086259911749
"STC","PWRSOLDIST",2035,0.0104489178889523
"STC","PWRSOLDIST",2036,0.0103892097867297
"STC","PWRSOLDIST",2037,0.0103295016845072
"STC","PWRSOLDIST",2038,0.0102697935822846
"STC","PWRSOLDIST",2039,0.010210085480062
"STC","PWRSOLDIST",2040,0.0101503773778394
"STC","PWRSOLDIST",2041,0.0100906692756168
"STC","PWRSOLDIST",2042,0.0100309611733942
"STC","PWRSOLDIST",2043,0.00997125307117165
"STC","PWRSOLDIST",2044,0.0137729884905212
"STC","PWRSOLDIST",2045,0.0136900186803373
"STC","PWRSOLDIST",2046,0.0136070488701534
"STC","PWRSOLDIST",2047,0.0135240790599696
"STC","PWRSOLDIST",2048,0.0134411092497857
"STC","PWRSOLDIST",2049,0.0133581394396018
"STC","PWRSOLDIST",2050,0.013275169629418
"IS","PWRWEC",2030,0.0054661
"IS","PWRWEC",2031,0.00536787
"IS","PWRWEC",2032,0.00526917
"IS","PWRWEC",2033,0.00517094
"IS","PWRWEC",2034,0.0116650068931481
"IS","PWRWEC",2035,0.063498
"IS","PWRWEC",2036,0.062244
"IS","PWRWEC",2037,0.060984
"IS","PWRWEC",2038,0.05973
"IS","PWRWEC",2039,0.05847
"IS","PWRWEC",2040,0.09535
"IS","PWRWEC",2041,0.09325
"IS","PWRWEC",2042,0.09114
"IS","PWRWEC",2043,0.08904
"IS","PWRWEC",2044,0.08693
"IS","PWRWEC",2045,0.118762
"IS","PWRWEC",2046,0.115794
"IS","PWRWEC",2047,0.11284
"IS","PWRWEC",2048,0.109886
"IS","PWRWEC",2049,0.106918
"IS","PWRWEC",2050,0.129195
"IS","PWRDIE",2019,0.1337
"IS","PWRDIE",2020,0.1337
"IS","PWRDIE",2021,0.1337
"IS","PWRDIE",2022,0.1337
"IS","PWRDIE",2023,0.1337
"IS","PWRDIE",2024,0.1337
"IS","PWRDIE",2025,0.1352426
"IS","PWRDIE",2026,0.1414134
"IS","PWRDIE",2027,0.1414134
"IS","PWRDIE",2028,0.1414134
"IS","PWRDIE",2029,0.1414134
"IS","PWRDIE",2030,0.1414134
"IS","PWRDIE",2031,0.1414134
"IS","PWRDIE",2032,0.1414134
"IS","PWRDIE",2033,0.1414134
"IS","PWRDIE",2034,0.00771340000000001
"IS","PWRDIE",2035,0.00771340000000001
"IS","PWRDIE",2036,0.00771340000000001
"IS","PWRDIE",2037,0.00771340000000001
"IS","PWRDIE",2038,0.00771340000000001
"IS","PWRDIE",2039,0.00771340000000001
"IS","PWRDIE",2040,0.00617080000000002
"IS","PWRSOL",2019,0.016705044
"IS","PWRSOL",2020,0.016129008
"IS","PWRSOL",2021,0.015552972
"IS","PWRSOL",2022,0.014976936
"IS","PWRSOL",2023,0.0151333228991621
"IS","PWRSOL",2024,0.0317958912
"IS","PWRSOL",2025,0.0304710624
"IS","PWRSOL",2026,0.0291462336
"IS","PWRSOL",2027,0.0278214048
"IS","PWRSOL",2028,0.026496576
"IS","PWRSOL",2029,0.0251717472
"IS","PWRSOL",2030,0.0238469184
"IS","PWRSOL",2031,0.02371443552
"IS","PWRSOL",2032,0.02358195264
"IS","PWRSOL",2033,0.02344946976
"IS","PWRSOL",2034,0.0425077688089881
"IS","PWRSOL",2035,0.0422662473953007
"IS","PWRSOL",2036,0.0420247259816133
"IS","PWRSOL",2037,0.0417832045679259
"IS","PWRSOL",2038,0.0415416831542384
"IS","PWRSOL",2039,0.041300161740551
"IS","PWRSOL",2040,0.0410586403268636
"IS","PWRSOL",2041,0.0408171189131761
"IS","PWRSOL",2042,0.0405755974994887
"IS","PWRSOL",2043,0.0403340760858013
"IS","PWRSOL",2044,0.0400925546721138
"IS","PWRSOL",2045,0.0398510332584264
"IS","PWRSOL",2046,0.039609511844739
"IS","PWRSOL",2047,0.0393679904310515
"IS","PWRSOL",2048,0.0391264690173641
"IS","PWRSOL",2049,0.0348431819062739
"IS","PWRSOL",2050,0.034626764627353
"IS","PWRSOLDIST",2019,6.73714858692963e-05
"IS","PWRSOLDIST",2020,0.000126
"IS","PWRSOLDIST",2021,0.0001215
"IS","PWRSOLDIST",2022,0.000117
"IS","PWRSOLDIST",2023,0.0001125
"IS","PWRSOLDIST",2024,0.000108
"IS","PWRSOLDIST",2025,0.0001035
"IS","PWRSOLDIST",2026,0.0003564
"IS","PWRSOLDIST",2027,0.0003402
"IS","PWRSOLDIST",2028,0.000324
"IS","PWRSOLDIST",2029,0.0003078
"IS","PWRSOLDIST",2030,0.0002916
"IS","PWRSOLDIST",2031,0.00050478
"IS","PWRSOLDIST",2032,0.00050196
"IS","PWRSOLDIST",2033,0.00049914
"IS","PWRSOLDIST",2034,0.00129801658598754
"IS","PWRSOLDIST",2035,0.00129064149174897
"IS","PWRSOLDIST",2036,0.0012832663975104
"IS","PWRSOLDIST",2037,0.00127589130327184
"IS","PWRSOLDIST",2038,0.00126851620903327
"IS","PWRSOLDIST",2039,0.00126114111479471
"IS","PWRSOLDIST",2040,0.00125376602055614
"IS","PWRSOLDIST",2041,0.00124639092631758
"IS","PWRSOLDIST",2042,0.00123901583207901
"IS","PWRSOLDIST",2043,0.00123164073784045
"IS","PWRSOLDIST",2044,0.00122426564360188
"IS","PWRSOLDIST",2045,0.00121689054936332
"IS","PWRSOLDIST",2046,0.00181427318268712
"IS","PWRSOLDIST",2047,0.00180321054132928
"IS","PWRSOLDIST",2048,0.00179214789997143
"IS","PWRSOLDIST",2049,0.00181613246818269
"IS","PWRSOLDIST",2050,0.00177002261725573
"FL","PWRWEC",2030,0.0054661
"FL","PWRWEC",2031,0.00536787
"FL","PWRWEC",2032,0.00526917
"FL","PWRWEC",2033,0.00517094
"FL","PWRWEC",2034,0.00507271
"FL","PWRWEC",2035,0.010583
"FL","PWRWEC",2036,0.010374
"FL","PWRWEC",2037,0.010164
"FL","PWRWEC",2038,0.009955
"FL","PWRWEC",2039,0.009745
"FL","PWRWEC",2040,0.011442
"FL","PWRWEC",2041,0.01119
"FL","PWRWEC",2042,0.0109368
"FL","PWRWEC",2043,0.0106848
"FL","PWRWEC",2044,0.0104316
"FL","PWRWEC",2045,0.0101796
"FL","PWRWEC",2046,0.0099252
"FL","PWRWEC",2047,0.009672
"FL","PWRWEC",2048,0.0094188
"FL","PWRWEC",2049,0.0091644
"FL","PWRWEC",2050,0.00891
"FL","PWRDIE",2019,0.0088
"FL","PWRDIE",2020,0.0088
"FL","PWRDIE",2021,0.0088
"FL","PWRDIE",2022,0.0088
"FL","PWRDIE",2023,0.0088
"FL","PWRDIE",2024,0.0088
"FL","PWRDIE",2025,0.0089016
"FL","PWRDIE",2026,0.0093076
"FL","PWRDIE",2027,0.0093076
"FL","PWRDIE",2028,0.0093076
"FL","PWRDIE",2029,0.0093076
"FL","PWRDIE",2030,0.0093076
"FL","PWRDIE",2031,0.0093076
"FL","PWRDIE",2032,0.0093076
"FL","PWRDIE",2033,0.0093076
"FL","PWRDIE",2034,0.0093076
"FL","PWRDIE",2035,0.0093076
"FL","PWRDIE",2036,0.0093076
"FL","PWRDIE",2037,0.0093076
"FL","PWRDIE",2038,0.0093076
"FL","PWRDIE",2039,0.0093076
"FL","PWRDIE",2040,0.009206
"FL","PWRSOL",2019,0.0004611
"FL","PWRSOL",2020,0.0004452
"FL","PWRSOL",2021,0.0004293
"FL","PWRSOL",2022,0.0004134
"FL","PWRSOL",2023,0.0003975
"FL","PWRSOL",2024,0.0003816
"FL","PWRSOL",2025,0.00216936
"FL","PWRSOL",2026,0.00207504
"FL","PWRSOL",2027,0.00198072
"FL","PWRSOL",2028,0.0018864
"FL","PWRSOL",2029,0.00179208
"FL","PWRSOL",2030,0.00169776
"FL","PWRSOL",2031,0.001688328
"FL","PWRSOL",2032,0.001678896
"FL","PWRSOL",2033,0.001669464
"FL","PWRSOL",2034,0.001660032
"FL","PWRSOL",2035,0.00137235
"FL","PWRSOL",2036,0.001364508
"FL","PWRSOL",2037,0.001356666
"FL","PWRSOL",2038,0.001348824
"FL","PWRSOL",2039,0.001340982
"FL","PWRSOL",2040,0.00133314
"FL","PWRSOL",2041,0.001325298
"FL","PWRSOL",2042,0.001317456
"FL","PWRSOL",2043,0.001309614
"FL","PWRSOL",2044,0.001301772
"FL","PWRSOL",2045,0.00129393
"FL","PWRSOL",2046,0.001286088
"FL","PWRSOL",2047,0.001278246
"FL","PWRSOL",2048,0.001270404
"FL","PWRSOL",2049,0.001262562
"FL","PWRSOL",2050,0.00125472
"FL","PWRSOLDIST",2019,9.62449798132804e-06
"FL","PWRSOLDIST",2020,9.24e-05
"FL","PWRSOLDIST",2021,8.91e-05
"FL","PWRSOLDIST",2022,8.58e-05
"FL","PWRSOLDIST",2023,8.25e-05
"FL","PWRSOLDIST",2024,7.92e-05
"FL","PWRSOLDIST",2025,7.59e-05
"FL","PWRSOLDIST",2026,7.26e-05
"FL","PWRSOLDIST",2027,6.93e-05
"FL","PWRSOLDIST",2028,6.6e-05
"FL","PWRSOLDIST",2029,6.27e-05
"FL","PWRSOLDIST",2030,0.0001674
"FL","PWRSOLDIST",2031,0.00016647
"FL","PWRSOLDIST",2032,0.00016554
"FL","PWRSOLDIST",2033,0.00016461
"FL","PWRSOLDIST",2034,0.00016368
"FL","PWRSOLDIST",2035,0.00016275
"FL","PWRSOLDIST",2036,0.00016182
"FL","PWRSOLDIST",2037,0.00016089
"FL","PWRSOLDIST",2038,0.00015996
"FL","PWRSOLDIST",2039,0.00015903
"FL","PWRSOLDIST",2040,0.0002601
"FL","PWRSOLDIST",2041,0.00025857
"FL","PWRSOLDIST",2042,0.00025704
