REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
"SC","IMPDSL","CO2",1,2019,1.3497
"SC","IMPDSL","CO2",1,2020,1.096096201926
"SC","IMPDSL","CO2",1,2021,1.22399582547
"SC","IMPDSL","CO2",1,2022,1.325823375096
"SC","IMPDSL","CO2",1,2023,1.47253714179
"SC","IMPDSL","CO2",1,2024,1.52780203897201
"SC","IMPDSL","CO2",1,2025,1.21473
"SC","IMPDSL","CO2",1,2026,1.21473
"SC","IMPDSL","CO2",1,2027,1.21473
"SC","IMPDSL","CO2",1,2028,1.21473
"SC","IMPDSL","CO2",1,2029,1.21473
"SC","IMPDSL","CO2",1,2030,0.53988
"SC","IMPDSL","CO2",1,2031,0.53988
"SC","IMPDSL","CO2",1,2032,0.53988
"SC","IMPDSL","CO2",1,2033,0.53988
"SC","IMPDSL","CO2",1,2034,0.539880000000001
"SC","IMPDSL","CO2",1,2035,0.539880000000001
"SC","IMPDSL","CO2",1,2036,0.539880000000001
"SC","IMPDSL","CO2",1,2039,0.0247093358160001
"STC","IMPDSL","CO2",1,2019,2.67991358403135
"STC","IMPDSL","CO2",1,2020,2.09764439294534
"STC","IMPDSL","CO2",1,2021,2.58391638748334
"STC","IMPDSL","CO2",1,2022,3.15965824579455
"STC","IMPDSL","CO2",1,2023,2.92030320362654
"STC","IMPDSL","CO2",1,2024,2.42946
"STC","IMPDSL","CO2",1,2025,2.510442
"STC","IMPDSL","CO2",1,2026,2.510442
"STC","IMPDSL","CO2",1,2027,2.510442
"STC","IMPDSL","CO2",1,2028,2.510442
"STC","IMPDSL","CO2",1,2029,2.510442
"STC","IMPDSL","CO2",1,2030,0.809820000000001
"STC","IMPDSL","CO2",1,2031,0.80982
"STC","IMPDSL","CO2",1,2032,0.80982
"STC","IMPDSL","CO2",1,2033,0.865366282637999
"STC","IMPDSL","CO2",1,2034,0.918201800802005
"STC","IMPDSL","CO2",1,2035,0.809820000000002
"STC","IMPDSL","CO2",1,2036,0.674850000000001
"STC","IMPDSL","CO2",1,2037,0.674849999999997
"STC","IMPDSL","CO2",1,2038,0.674849999999997
"STC","IMPDSL","CO2",1,2039,0.674849999999997
"STC","IMPDSL","CO2",1,2040,0.674849999999997
"IS","IMPDSL","CO2",1,2019,0.378806046168
"IS","IMPDSL","CO2",1,2020,0.24535761870482
"IS","IMPDSL","CO2",1,2021,0.26101130433482
"IS","IMPDSL","CO2",1,2022,0.41881026510482
"IS","IMPDSL","CO2",1,2023,0.41198345551082
"IS","IMPDSL","CO2",1,2024,0.42014260796282
"IS","IMPDSL","CO2",1,2025,0.40491
"IS","IMPDSL","CO2",1,2026,0.40491
"IS","IMPDSL","CO2",1,2027,0.40491
"IS","IMPDSL","CO2",1,2028,0.40491
"IS","IMPDSL","CO2",1,2029,0.40491
"IS","IMPDSL","CO2",1,2030,0.40491
"IS","IMPDSL","CO2",1,2031,0.40491
"IS","IMPDSL","CO2",1,2032,0.40491
"IS","IMPDSL","CO2",1,2033,0.40491
"IS","IMPDSL","CO2",1,2034,0.0634787911889021
"FL","IMPDSL","CO2",1,2019,0.016605602046
"FL","IMPDSL","CO2",1,2020,0.0115320486283347
"FL","IMPDSL","CO2",1,2021,0.013497
"FL","IMPDSL","CO2",1,2022,0.0174877078543347
"FL","IMPDSL","CO2",1,2023,0.0178567158343347
"FL","IMPDSL","CO2",1,2024,0.0188958
"FL","IMPDSL","CO2",1,2025,0.0188958
"FL","IMPDSL","CO2",1,2026,0.0188958
"FL","IMPDSL","CO2",1,2027,0.0188958
