REGION,TECHNOLOGY,YEAR,VALUE
"SC","MINSOL",2019,0
"SC","MINSOL",2020,0
"SC","MINSOL",2021,0
"SC","MINSOL",2022,0
"SC","MINSOL",2023,0
"SC","MINSOL",2024,0
"SC","MINSOL",2025,0
"SC","MINSOL",2026,0
"SC","MINSOL",2027,0
"SC","MINSOL",2028,0
"SC","MINSOL",2029,0
"SC","MINSOL",2030,0
"SC","MINSOL",2031,0
"SC","MINSOL",2032,0
"SC","MINSOL",2033,0
"SC","MINSOL",2034,0
"SC","MINSOL",2035,0
"SC","MINSOL",2036,0
"SC","MINSOL",2037,0
"SC","MINSOL",2038,0
"SC","MINSOL",2039,0
"SC","MINSOL",2040,0
"SC","MINSOL",2041,0
"SC","MINSOL",2042,0
"SC","MINSOL",2043,0
"SC","MINSOL",2044,0
"SC","MINSOL",2045,0
"SC","MINSOL",2046,0
"SC","MINSOL",2047,0
"SC","MINSOL",2048,0
"SC","MINSOL",2049,0
"SC","MINSOL",2050,0
"SC","MINWND",2019,0
"SC","MINWND",2020,0
"SC","MINWND",2021,0
"SC","MINWND",2022,0
"SC","MINWND",2023,0
"SC","MINWND",2024,0
"SC","MINWND",2025,0
"SC","MINWND",2026,0
"SC","MINWND",2027,0
"SC","MINWND",2028,0
"SC","MINWND",2029,0
"SC","MINWND",2030,0
"SC","MINWND",2031,0
"SC","MINWND",2032,0
"SC","MINWND",2033,0
"SC","MINWND",2034,0
"SC","MINWND",2035,0
"SC","MINWND",2036,0
"SC","MINWND",2037,0
"SC","MINWND",2038,0
"SC","MINWND",2039,0
"SC","MINWND",2040,0
"SC","MINWND",2041,0
"SC","MINWND",2042,0
"SC","MINWND",2043,0
"SC","MINWND",2044,0
"SC","MINWND",2045,0
"SC","IMPDSL",2019,1.3101
"SC","IMPDSL",2020,1.063936900158
"SC","IMPDSL",2021,1.72825816432501
"SC","IMPDSL",2022,2.048705068608
"SC","IMPDSL",2023,2.27541191592001
"SC","IMPDSL",2024,2.360809018656
"SC","IMPDSL",2025,1.87704
"SC","IMPDSL",2026,1.87704
"SC","IMPDSL",2027,1.87704
"SC","IMPDSL",2028,1.87704
"SC","IMPDSL",2029,2.089395
"SC","IMPDSL",2030,0.94842
"SC","IMPDSL",2031,0.99594
"SC","IMPDSL",2032,1.02234
"SC","IMPDSL",2033,1.05072
"SC","IMPDSL",2034,1.0758
"SC","IMPDSL",2035,1.10418
"SC","IMPDSL",2036,1.13718
"SC","IMPDSL",2039,0.0565777334760003
"SC","MINWAVE",2030,2e-09
"SC","MINWAVE",2031,2e-09
"SC","MINWAVE",2032,2e-09
"SC","MINWAVE",2033,2e-09
"SC","MINWAVE",2034,2e-09
"SC","MINWAVE",2035,9e-08
"SC","MINWAVE",2036,9.77528917838069e-08
"SC","MINWAVE",2037,1.16003208712103e-07
"SC","MINWAVE",2038,1.18816811302138e-07
"SC","MINWAVE",2039,1.15096548683089e-07
"SC","MINWAVE",2040,1.32821352239367e-07
"SC","MINWAVE",2041,1.38324850741426e-07
"SC","MINWAVE",2042,1.55073827025417e-07
"SC","MINWAVE",2043,1.65011025682153e-07
"SC","MINWAVE",2044,2.28251662304053e-07
"SC","MINWAVE",2045,2.41089702799303e-07
"SC","MINWAVE",2046,3.7613251203624e-07
"SC","MINWAVE",2047,3.82784637249108e-07
"SC","MINWAVE",2048,3.81404937204958e-07
"SC","MINWAVE",2049,3.87712137406788e-07
"SC","MINWAVE",2050,4.51556114449795e-07
