REGION,TECHNOLOGY,YEAR,VALUE
"SC","PWRWEC",2030,0.27858404
"SC","PWRWEC",2035,7.70139402
"SC","PWRWEC",2040,7.27764
"SC","PWRWEC",2045,9.12832
"SC","PWRWEC",2050,4.43299
"SC","PWRDIE",2019,11.8911716133942
"SC","PWRDIE",2023,1.08222385235513
"SC","PWRDIE",2024,0.486896626352363
"SC","PWRDIE",2026,3.18734816665019
"SC","PWRWND",2019,5.072952
"SC","PWRWND",2021,11.35456
"SC","PWRSOL",2020,1.68
"SC","PWRSOL",2021,4.0878108
"SC","PWRSOL",2037,1.20612325346599
"SC","PWRSOL",2038,0.144620837394938
"SC","PWRSOL",2044,1.68516967434259
"SC","PWRSOL",2046,3.78729565981603
"SC","PWRSOL",2047,0.208542952047735
"SC","PWRSOL",2048,0.207263547433933
"SC","PWRSOL",2049,0.272903820275627
"SC","PWRSOL",2050,0.127781352772847
"SC","PWRSOLDIST",2019,0.982849322624955
"SC","PWRSOLDIST",2049,0.445271314653395
"STC","PWRWEC",2030,0.27858404
"STC","PWRWEC",2035,15.65190402
"STC","PWRWEC",2040,14.55528
"STC","PWRWEC",2045,13.69248
"STC","PWRWEC",2050,13.29897
"STC","PWRDIE",2019,18.8885306878762
"STC","PWRDIE",2022,3.38132983841506
"STC","PWRDIE",2026,4.7564686453577
"STC","PWRWND",2024,12.43452
"STC","PWRSOL",2024,7.92
"STC","PWRSOL",2030,5.78155572699106
"STC","PWRSOL",2031,0.353880064336493
"STC","PWRSOL",2032,0.338780700349772
"STC","PWRSOL",2041,3.08679791016659
"STC","PWRSOL",2042,0.281777166144485
"STC","PWRSOL",2043,0.282390895336699
"STC","PWRSOL",2044,0.0461363596113221
"STC","PWRSOL",2048,0.0907895193318652
"STC","PWRSOL",2049,6.91633373710935
"STC","PWRSOLDIST",2019,0.14355
"STC","PWRSOLDIST",2022,2.19991598668081
"STC","PWRSOLDIST",2044,0.579216528235813
"STC","PWRSOLDIST",2049,0.0796950000000002
"IS","PWRWEC",2030,0.27858404
"IS","PWRWEC",2034,0.330481560982002
"IS","PWRWEC",2035,2.60734656799751
"IS","PWRWEC",2040,1.940704
"IS","PWRWEC",2045,1.825664
"IS","PWRWEC",2050,1.5072166
"IS","PWRDIE",2019,6.072
"IS","PWRDIE",2025,0.0925559999999991
"IS","PWRDIE",2026,0.370248000000001
"IS","PWRSOL",2023,0.0732422899162136
"IS","PWRSOL",2024,1.72679012168044
"IS","PWRSOL",2034,1.91907819289881
"IS","PWRSOL",2049,0.523241390259728
"IS","PWRSOLDIST",2019,0.0101057228803944
"IS","PWRSOLDIST",2020,0.00914275032237778
"IS","PWRSOLDIST",2026,0.03861
"IS","PWRSOLDIST",2031,0.03222
"IS","PWRSOLDIST",2034,0.12025448789813
"IS","PWRSOLDIST",2046,0.0907136591343561
"IS","PWRSOLDIST",2049,0.0108674999999999
"FL","PWRWEC",2030,0.27858404
"FL","PWRWEC",2035,0.28091802
"FL","PWRWEC",2040,0.0970352
"FL","PWRDIE",2025,0.00609599999999997
"FL","PWRDIE",2026,0.55236
"FL","PWRSOL",2025,0.180366
"FL","PWRSOLDIST",2019,0.00144367469719921
"FL","PWRSOLDIST",2020,0.0124661071889111
"FL","PWRSOLDIST",2030,0.0162
"FL","PWRSOLDIST",2040,0.0153
"FL","PWRSOLDIST",2049,0.000801488366376113
"FL","PWRSOLDIST",2050,0.00712348982223492
