REGION,TIMESLICE,FUEL,YEAR,VALUE
"SC","TM01","COMELC",2019,0.000247505821677796
"SC","TM01","COMELC",2020,0.000184411723016494
"SC","TM01","COMELC",2021,0.000193390585511697
"SC","TM01","COMELC",2022,0.00025703733139982
"SC","TM01","COMELC",2023,0.000262324244381522
"SC","TM01","COMELC",2024,0.000271490138565746
"SC","TM01","COMELC",2025,0.000280668523574316
"SC","TM01","COMELC",2026,0.000289679967030925
"SC","TM01","COMELC",2027,0.000298691410487534
"SC","TM01","COMELC",2028,0.000307702860183316
"SC","TM01","COMELC",2029,0.000316714303639925
"SC","TM01","COMELC",2030,0.000325725747096534
"SC","TM01","COMELC",2031,0.000327707951076153
"SC","TM01","COMELC",2032,0.00032970997066922
"SC","TM01","COMELC",2033,0.000331732011768444
"SC","TM01","COMELC",2034,0.000333774274027361
"SC","TM01","COMELC",2035,0.000335836957099507
"SC","TM01","COMELC",2036,0.000337920266877591
"SC","TM01","COMELC",2037,0.000340024415493495
"SC","TM01","COMELC",2038,0.000342149596361582
"SC","TM01","COMELC",2039,0.00034429603409208
"SC","TM01","COMELC",2040,0.000346463940816871
"SC","TM01","COMELC",2041,0.000348653516189491
"SC","TM01","COMELC",2042,0.000350864997298514
"SC","TM01","COMELC",2043,0.000353098590036649
"SC","TM01","COMELC",2044,0.000357873578873701
"SC","TM01","COMELC",2045,0.000362648567710753
"SC","TM01","COMELC",2046,0.000367423556547805
"SC","TM01","COMELC",2047,0.000372198545384857
"SC","TM01","COMELC",2048,0.000376973534221909
"SC","TM01","COMELC",2049,0.000381748523058961
"SC","TM01","COMELC",2050,0.000386523511896013
"SC","TM01","RESELC",2019,0.000126458921278247
"SC","TM01","RESELC",2020,0.000129252273900423
"SC","TM01","RESELC",2021,0.000132125949635801
"SC","TM01","RESELC",2022,0.000135083099266746
"SC","TM01","RESELC",2023,0.000137193000400156
"SC","TM01","RESELC",2024,0.000142574312069348
"SC","TM01","RESELC",2025,0.000148092186757164
"SC","TM01","RESELC",2026,0.000152004054640569
"SC","TM01","RESELC",2027,0.000155927109361163
"SC","TM01","RESELC",2028,0.000159861432028195
"SC","TM01","RESELC",2029,0.00016380711622926
"SC","TM01","RESELC",2030,0.000167764236834434
"SC","TM01","RESELC",2031,0.000169677735040977
"SC","TM01","RESELC",2032,0.000171613918880548
"SC","TM01","RESELC",2033,0.000173573062876759
"SC","TM01","RESELC",2034,0.000175555460270741
"SC","TM01","RESELC",2035,0.000177561398064452
"SC","TM01","RESELC",2036,0.000179591157020677
"SC","TM01","RESELC",2037,0.00018164503661972
"SC","TM01","RESELC",2038,0.000183723342581058
"SC","TM01","RESELC",2039,0.000185826374384995
"SC","TM01","RESELC",2040,0.000187954431511835
"SC","TM01","RESELC",2041,0.000190107832159401
"SC","TM01","RESELC",2042,0.000192286888286343
"SC","TM01","RESELC",2043,0.000194491918090484
"SC","TM01","RESELC",2044,0.00019712205394698
"SC","TM01","RESELC",2045,0.000199752189803476
"SC","TM01","RESELC",2046,0.000202382319420799
"SC","TM01","RESELC",2047,0.000205012455277295
"SC","TM01","RESELC",2048,0.000207642591133791
"SC","TM01","RESELC",2049,0.000210272726990287
"SC","TM01","RESELC",2050,0.000212902862846783
"SC","TM01","TX",2025,0.000116560554488093
"SC","TM01","TX",2026,0.000134408573323396
"SC","TM01","TX",2027,0.000152080263295895
"SC","TM01","TX",2028,0.000169927758641254
"SC","TM01","TX",2029,0.000187788014053998
"SC","TM01","TX",2030,0.000202451643559949
"SC","TM01","TX",2031,0.000212632628675428
"SC","TM01","TX",2032,0.000221857612092758
"SC","TM01","TX",2033,0.000230822900873702
"SC","TM01","TX",2034,0.000238747993323837
"SC","TM01","TX",2035,0.000246011110927703
"SC","TM01","TX",2036,0.000252616354356528
"SC","TM01","TX",2037,0.000258798421601872
"SC","TM01","TX",2038,0.000263997047551169
"SC","TM01","TX",2039,0.000269106963767039
"SC","TM01","TX",2040,0.000273420695402247
"SC","TM01","TX",2041,0.000277803527710063
"SC","TM01","TX",2042,0.000282186338205798
"SC","TM01","TX",2043,0.000286569148701533
"SC","TM01","TX",2044,0.000290951981009349
"SC","TM01","TX",2045,0.000295334791505084
"SC","TM01","TX",2046,0.0002997176238129
"SC","TM01","TX",2047,0.000304100434308635
"SC","TM01","TX",2048,0.00030848324480437
"SC","TM01","TX",2049,0.000312866077112186
"SC","TM01","TX",2050,0.000317248887607921
"SC","TM02","COMELC",2019,0.000232064965011924
"SC","TM02","COMELC",2020,0.000172907044204086
"SC","TM02","COMELC",2021,0.000181325752890093
"SC","TM02","COMELC",2022,0.00024100184356758
"SC","TM02","COMELC",2023,0.000245958928083018
"SC","TM02","COMELC",2024,0.000254553000330474
"SC","TM02","COMELC",2025,0.000263158784151804
"SC","TM02","COMELC",2026,0.000271608041208825
"SC","TM02","COMELC",2027,0.000280057298265846
"SC","TM02","COMELC",2028,0.000288506561172804
"SC","TM02","COMELC",2029,0.000296955818229825
"SC","TM02","COMELC",2030,0.000305405075286846
"SC","TM02","COMELC",2031,0.000307263617821557
"SC","TM02","COMELC",2032,0.00030914073975618
"SC","TM02","COMELC",2033,0.000311036634138636
"SC","TM02","COMELC",2034,0.000312951488166909
"SC","TM02","COMELC",2035,0.000314885489038983
"SC","TM02","COMELC",2036,0.000316838829802779
"SC","TM02","COMELC",2037,0.000318811709356155
"SC","TM02","COMELC",2038,0.000320804309047158
"SC","TM02","COMELC",2039,0.00032281683947352
"SC","TM02","COMELC",2040,0.000324849499533099
"SC","TM02","COMELC",2041,0.000326902476423879
"SC","TM02","COMELC",2042,0.000328975992443466
"SC","TM02","COMELC",2043,0.000331070240639781
"SC","TM02","COMELC",2044,0.000335547337824369
"SC","TM02","COMELC",2045,0.000340024435008957
"SC","TM02","COMELC",2046,0.000344501532193545
"SC","TM02","COMELC",2047,0.000348978629378133
"SC","TM02","COMELC",2048,0.000353455726562721
"SC","TM02","COMELC",2049,0.000357932823747309
"SC","TM02","COMELC",2050,0.000362409920931897
"SC","TM02","RESELC",2019,0.000118569676232043
"SC","TM02","RESELC",2020,0.000121188763226187
"SC","TM02","RESELC",2021,0.000123883162309269
"SC","TM02","RESELC",2022,0.000126655827699474
"SC","TM02","RESELC",2023,0.000128634100894764
"SC","TM02","RESELC",2024,0.000133679694957012
"SC","TM02","RESELC",2025,0.000138853332440316
"SC","TM02","RESELC",2026,0.000142521155190261
"SC","TM02","RESELC",2027,0.000146199466877247
"SC","TM02","RESELC",2028,0.000149888343550455
"SC","TM02","RESELC",2029,0.00015358787295894
"SC","TM02","RESELC",2030,0.000157298125301946
"SC","TM02","RESELC",2031,0.000159092248330413
"SC","TM02","RESELC",2032,0.000160907641729812
"SC","TM02","RESELC",2033,0.000162744562897371
"SC","TM02","RESELC",2034,0.000164603286780129
"SC","TM02","RESELC",2035,0.000166484082475188
"SC","TM02","RESELC",2036,0.000168387213229713
