REGION,TECHNOLOGY,YEAR,VALUE
"SC","PWRWEC",2030,0.00460772853641773
"SC","PWRWEC",2035,0.2314238118766
"SC","PWRWEC",2040,0.279738755298471
"SC","PWRWEC",2045,0.398421235231049
"SC","PWRWEC",2050,0.207822365964355
"SC","PWRSOL",2037,0.047409881261762
"SC","PWRSOL",2038,0.00582846045696145
"SC","PWRSOL",2044,0.0752105014386686
"SC","PWRSOL",2046,0.172718146434411
"SC","PWRSOL",2047,0.00959843268208516
"SC","PWRSOL",2048,0.00961897666033444
"SC","PWRSOL",2049,0.0127603800292423
"SC","PWRSOL",2050,0.00601524491515894
"SC","PWRSOLDIST",2049,0.0208199034566797
"STC","PWRWEC",2030,0.00460772853641773
"STC","PWRWEC",2035,0.470333459374811
"STC","PWRWEC",2040,0.559477510596943
"STC","PWRWEC",2045,0.597631852846573
"STC","PWRWEC",2050,0.623467097893065
"STC","PWRSOL",2024,0.0989554295176361
"STC","PWRSOL",2030,0.167285423027255
"STC","PWRSOL",2031,0.0109247598106947
"STC","PWRSOL",2032,0.0110551949225677
"STC","PWRSOL",2041,0.13203348808842
"STC","PWRSOL",2042,0.0122439303819539
"STC","PWRSOL",2043,0.0124448899341959
"STC","PWRSOL",2044,0.00205910348005517
"STC","PWRSOL",2048,0.00421348702301143
"STC","PWRSOL",2049,0.323392493389975
"STC","PWRSOLDIST",2022,0.0100479604943431
"STC","PWRSOLDIST",2044,0.0258509075931329
"STC","PWRSOLDIST",2049,0.00372636222315751
"IS","PWRWEC",2030,0.00460772853641773
"IS","PWRWEC",2034,0.00919952648325927
"IS","PWRWEC",2035,0.0783497221519067
"IS","PWRWEC",2040,0.0745970014129258
"IS","PWRWEC",2045,0.0796842470462098
"IS","PWRWEC",2050,0.0706596044278807
"IS","PWRSOL",2023,0.000638646221080048
"IS","PWRSOL",2024,0.0215751588608205
"IS","PWRSOL",2034,0.0684889916083324
"IS","PWRSOL",2049,0.024465612024045
"IS","PWRSOLDIST",2026,0.000735349270841449
"IS","PWRSOLDIST",2031,0.000994675305489605
"IS","PWRSOLDIST",2034,0.00429170038146206
"IS","PWRSOLDIST",2046,0.00413696116419126
"IS","PWRSOLDIST",2049,0.000508140303157838
"FL","PWRWEC",2030,0.00460772853641773
"FL","PWRWEC",2035,0.00844147421160345
"FL","PWRWEC",2040,0.00372985007064629
"FL","PWRSOL",2025,0.0028724998195618
"FL","PWRSOLDIST",2030,0.000468736094748659
"FL","PWRSOLDIST",2040,0.000643010012827941
"FL","PWRSOLDIST",2049,3.74758262220235e-05
"FL","PWRSOLDIST",2050,0.000335334812173709
