REGION,TECHNOLOGY,YEAR,VALUE
"SC","PWRWEC",2030,0.0972865516211142
"SC","PWRWEC",2035,4.88623069752102
"SC","PWRWEC",2040,5.90634162639475
"SC","PWRWEC",2045,8.41217701127598
"SC","PWRWEC",2050,4.38791503766236
"SC","PWRSOL",2037,1.00100164848452
"SC","PWRSOL",2038,0.1230608128574
"SC","PWRSOL",2044,1.58797773628207
"SC","PWRSOL",2046,3.64673238368728
"SC","PWRSOL",2047,0.202659164754842
"SC","PWRSOL",2048,0.203092925725059
"SC","PWRSOL",2049,0.269419815123277
"SC","PWRSOL",2050,0.127004538207283
"SC","PWRSOLDIST",2049,0.43958679344413
"STC","PWRWEC",2030,0.0972865516211142
"STC","PWRWEC",2035,9.93051565710913
"STC","PWRWEC",2040,11.8126832527895
"STC","PWRWEC",2045,12.618265516914
"STC","PWRWEC",2050,13.1637451129871
"STC","PWRSOL",2024,2.08932284657584
"STC","PWRSOL",2030,3.53202707454933
"STC","PWRSOL",2031,0.230662939639608
"STC","PWRSOL",2032,0.23341691747145
"STC","PWRSOL",2041,2.78772559040907
"STC","PWRSOL",2042,0.258515612570214
"STC","PWRSOL",2043,0.262758627691099
"STC","PWRSOL",2044,0.0434754511734635
"STC","PWRSOL",2048,0.0889626243233038
"STC","PWRSOL",2049,6.82803690655885
"STC","PWRSOLDIST",2022,0.212150394623683
"STC","PWRSOLDIST",2044,0.545810291586149
"STC","PWRSOLDIST",2049,0.0786775800520635
"IS","PWRWEC",2030,0.0972865516211142
"IS","PWRWEC",2034,0.194236748330495
"IS","PWRWEC",2035,1.65425854157577
"IS","PWRWEC",2040,1.57502443370527
"IS","PWRWEC",2045,1.6824354022552
"IS","PWRWEC",2050,1.4918911128052
"IS","PWRSOL",2023,0.0134842337311472
"IS","PWRSOL",2024,0.455533087432881
"IS","PWRSOL",2034,1.44606127833266
"IS","PWRSOL",2049,0.516561470214099
"IS","PWRSOLDIST",2026,0.0155260003344042
"IS","PWRSOLDIST",2031,0.0210013523342229
"IS","PWRSOLDIST",2034,0.0906140037121345
"IS","PWRSOLDIST",2046,0.0873468744249282
"IS","PWRSOLDIST",2049,0.0107287609161904
"FL","PWRWEC",2030,0.0972865516211142
"FL","PWRWEC",2035,0.178231401905447
"FL","PWRWEC",2040,0.0787512216852633
"FL","PWRSOL",2025,0.0606493198912935
"FL","PWRSOLDIST",2030,0.00989678925701163
"FL","PWRSOLDIST",2040,0.0135763698558755
"FL","PWRSOLDIST",2049,0.000791256228199436
"FL","PWRSOLDIST",2050,0.00708018435918045
