REGION,TECHNOLOGY,YEAR,VALUE
"SC","MINSOL",2019,0.00268652563399388
"SC","MINSOL",2020,0.00287432542254566
"SC","MINSOL",2021,0.0047018832311672
"SC","MINSOL",2022,0.017355608837814
"SC","MINSOL",2023,0.00479272984058557
"SC","MINSOL",2024,0.00395075402156725
"SC","MINSOL",2025,0.0160363462131822
"SC","MINSOL",2026,0.0161348259922457
"SC","MINSOL",2027,0.0188201467689066
"SC","MINSOL",2028,0.0170064529231807
"SC","MINSOL",2029,0.0228949693534154
"SC","MINSOL",2030,0.0245424240380054
"SC","MINSOL",2031,0.0228588496149797
"SC","MINSOL",2032,0.024050739421979
"SC","MINSOL",2033,0.026470280847695
"SC","MINSOL",2034,0.0276633396298476
"SC","MINSOL",2035,0.0270377405515518
"SC","MINSOL",2036,0.0253238391210935
"SC","MINSOL",2037,0.0369029022306965
"SC","MINSOL",2038,0.040110266992728
"SC","MINSOL",2039,0.0403380897940863
"SC","MINSOL",2040,0.0374554791559951
"SC","MINSOL",2041,0.0468586337278762
"SC","MINSOL",2042,0.0442052197806013
"SC","MINSOL",2043,0.045312343029352
"SC","MINSOL",2044,0.0502217528652995
"SC","MINSOL",2045,0.0500576458570611
"SC","MINSOL",2046,0.0782184902509785
"SC","MINSOL",2047,0.0942277407405533
"SC","MINSOL",2048,0.083079161855594
"SC","MINSOL",2049,0.0833424417505591
"SC","MINSOL",2050,0.0765533671723074
"SC","MINWND",2019,0.012098313397542
"SC","MINWND",2020,0.0105772588362174
"SC","MINWND",2021,0.0114707992939447
"SC","MINWND",2022,0.0319610397303794
"SC","MINWND",2023,0.0177341542786693
"SC","MINWND",2024,0.0359033890584805
"SC","MINWND",2025,0.0404282821245714
"SC","MINWND",2026,0.036762522090348
"SC","MINWND",2027,0.0295459469326465
"SC","MINWND",2028,0.0302899350464226
"SC","MINWND",2029,0.0308456291507352
"SC","MINWND",2030,0.0515114650676577
"SC","MINWND",2031,0.05512038283116
"SC","MINWND",2032,0.0547723246306004
"SC","MINWND",2033,0.0528221998696334
"SC","MINWND",2034,0.0521566434935242
"SC","MINWND",2035,0.0445377102503289
"SC","MINWND",2036,0.0479185266621819
"SC","MINWND",2037,0.0626982782050009
"SC","MINWND",2038,0.0600826836163258
"SC","MINWND",2039,0.0592446752828976
"SC","MINWND",2040,0.0609171391590684
"SC","MINWND",2041,0.0641395168840765
"SC","MINWND",2042,0.0709133492090192
"SC","MINWND",2043,0.0650683107208259
"SC","MINWND",2044,0.0412893283805577
"SC","MINWND",2045,0.0423802848454583
"SC","IMPDSL",2019,0.165
"SC","IMPDSL",2020,0.1339970907
"SC","IMPDSL",2021,0.1496327415
"SC","IMPDSL",2022,0.1620810972
"SC","IMPDSL",2023,0.180016765500001
"SC","IMPDSL",2024,0.186772865400001
"SC","IMPDSL",2025,0.1485
"SC","IMPDSL",2026,0.1485
"SC","IMPDSL",2027,0.1485
"SC","IMPDSL",2028,0.1485
"SC","IMPDSL",2029,0.1485
"SC","IMPDSL",2030,0.066
"SC","IMPDSL",2031,0.066
"SC","IMPDSL",2032,0.066
"SC","IMPDSL",2033,0.066
"SC","IMPDSL",2034,0.0660000000000002
"SC","IMPDSL",2035,0.066
"SC","IMPDSL",2036,0.0660000000000002
"SC","IMPDSL",2039,0.00302070120000001
"SC","MINWAVE",2030,0.0002
"SC","MINWAVE",2031,0.0002
"SC","MINWAVE",2032,0.0002
"SC","MINWAVE",2033,0.0002
"SC","MINWAVE",2034,0.0002
"SC","MINWAVE",2035,0.00900000000000001
"SC","MINWAVE",2036,0.00977528917838069
"SC","MINWAVE",2037,0.0116003208712103
"SC","MINWAVE",2038,0.0118816811302138
"SC","MINWAVE",2039,0.0115096548683089
"SC","MINWAVE",2040,0.0132821352239367
"SC","MINWAVE",2041,0.0138324850741426
"SC","MINWAVE",2042,0.0155073827025417
"SC","MINWAVE",2043,0.0165011025682153
"SC","MINWAVE",2044,0.0228251662304053
"SC","MINWAVE",2045,0.0241089702799303
"SC","MINWAVE",2046,0.037613251203624
"SC","MINWAVE",2047,0.0382784637249108
"SC","MINWAVE",2048,0.0381404937204958
"SC","MINWAVE",2049,0.0387712137406788
"SC","MINWAVE",2050,0.0451556114449795
"SC","PWRWEC",2030,0.0002
"SC","PWRWEC",2031,0.0002
"SC","PWRWEC",2032,0.0002
"SC","PWRWEC",2033,0.0002
"SC","PWRWEC",2034,0.0002
"SC","PWRWEC",2035,0.00900000000000001
"SC","PWRWEC",2036,0.00900000000000001
"SC","PWRWEC",2037,0.0105448503374352
"SC","PWRWEC",2038,0.0105448503374352
"SC","PWRWEC",2039,0.0105448503374352
"SC","PWRWEC",2040,0.013
"SC","PWRWEC",2041,0.0132435473374352
"SC","PWRWEC",2042,0.0142295422300768
"SC","PWRWEC",2043,0.0151418892300768
"SC","PWRWEC",2044,0.0210897006748704
"SC","PWRWEC",2045,0.0224775116748703
"SC","PWRWEC",2046,0.035149501124784
"SC","PWRWEC",2047,0.035149501124784
"SC","PWRWEC",2048,0.035149501124784
"SC","PWRWEC",2049,0.035149501124784
"SC","PWRWEC",2050,0.0421794013497408
"SC","PWRDIE",2019,0.05
"SC","PWRDIE",2020,0.0406051790000001
"SC","PWRDIE",2021,0.0453432550000001
"SC","PWRDIE",2022,0.049115484
"SC","PWRDIE",2023,0.0545505350000001
"SC","PWRDIE",2024,0.0565978380000001
"SC","PWRDIE",2025,0.045
