REGION,TECHNOLOGY,VALUE
"SC","MINSOL",1.11208531666745
"SC","MINWND",1.17319008904827
"SC","IMPDSL",2.18502126149999
"SC","MINWAVE",0.358783221961975
"SC","PWRWEC",0.332594148008512
"SC","PWRDIE",0.662127655000003
"SC","PWRWND",0.921140867594478
"SC","PWRSOL",0.854595597659199
"SC","TXE",0.0764578244691475
"SC","ELECNERA",0.242857398384273
"SC","BAT",0.591708503579313
"SC","DEMRESELC",0.889593961477834
"SC","DEMCOMELC",1.64492393893477
"SC","PWRSOLDIST",0.0712914227378122
"STC","MINSOL",3.25606182354376
"STC","MINWND",1.63231289836276
"STC","IMPDSL",4.50124742021041
"STC","MINWAVE",0.687375131902281
"STC","PWRWEC",0.625915491064282
"STC","PWRDIE",1.36401436976073
"STC","PWRWND",1.17039405813309
"STC","PWRSOL",2.29444938228678
"STC","TXE",0.16452827261166
"STC","ELECNERA",0.531112178266745
"STC","BAT",2.00346106437193
"STC","DEMRESELC",2.03178239949351
"STC","DEMCOMELC",2.98434274513326
"STC","PWRDIST",5.44697635777194
"STC","PWRSOLDIST",0.197918730755117
"IS","MINSOL",0.835279340033638
"IS","IMPDSL",0.714398543884475
"IS","MINWAVE",0.107069649781288
"IS","PWRWEC",0.0961407497296127
"IS","PWRDIE",0.216484407237719
"IS","PWRSOL",0.537127520280346
"IS","TXE",0.00802941851537451
"IS","ELECNERA",0.0255256216908292
"IS","BAT",0.482937665953601
"IS","DEMRESELC",0.298936830869349
"IS","DEMCOMELC",0.538496723547718
"IS","PWRDIST",0.853758829520479
"IS","PWRSOLDIST",0.0172246607523201
"FL","MINSOL",0.024137243826008
"FL","IMPDSL",0.0186506447876533
"FL","MINWAVE",0.00534279183767402
"FL","PWRWEC",0.00503000000000003
"FL","PWRDIE",0.00565171054171312
"FL","PWRSOL",0.0161175189700422
"FL","BAT",0.000502890778296749
"FL","DEMCOMELC",0.000793055517068371
"FL","PWRDIST",0.00170888294023521
"FL","PWRSOLDIST",0.0028198384882447
